          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             0,              0,              4,         0.0000,    28.07420200
             0,              0,              4,         0.0000,    28.07788600
             0,              0,              4,         0.0000,    28.09465900
             0,              0,              4,         0.0000,    28.09495400
             0,              0,              4,         0.0000,    28.06527800
            48,             96,           4324,        73.7280,     8.90098000
            48,             96,           4324,        73.7280,     8.90876800
            48,             96,           4324,        73.7280,     8.89466700
            48,             96,           4324,        73.7280,     8.91024800
            48,             96,           4324,        73.7280,     8.93279400
            48,             96,           4324,        73.7280,     8.93322200
            48,             96,           4324,        73.7280,     8.90124600
            96,            192,          17860,       294.9120,     7.80380200
            96,            192,          17860,       294.9120,     7.78270800
            96,            192,          17860,       294.9120,     7.78043700
            96,            192,          17860,       294.9120,     7.78969800
           144,            288,          40612,       663.5520,     7.67506500
           144,            288,          40612,       663.5520,     7.68517100
           144,            288,          40612,       663.5520,     7.69941000
           192,            384,          72580,      1179.6480,     7.61598600
           192,            384,          72580,      1179.6480,     7.63639300
           192,            384,          72580,      1179.6480,     7.60781000
           240,            480,         113764,      1843.2000,     7.61514300
           240,            480,         113764,      1843.2000,     7.63967200
           288,            576,         164164,      2654.2080,     7.55925300
           336,            672,         223780,      3612.6720,     7.59650800
           336,            672,         223780,      3612.6720,     7.57780800
           384,            768,         292612,      4718.5920,     8.01992100
           432,            864,         370660,      5971.9680,     8.12528300
           480,            960,         457924,      7372.8000,     8.22384400
           528,           1056,         554404,      8921.0880,     8.51539700
           576,           1152,         660100,     10616.8320,     8.64485700
           672,           1344,         899140,     14450.6880,     8.56736600
           720,           1440,        1032484,     16588.8000,     8.60726400
           768,           1536,        1175044,     18874.3680,     8.58411000
           864,           1728,        1487812,     23887.8720,     8.65359600
           960,           1920,        1837444,     29491.2000,     9.66420900
          1056,           2112,        2223940,     35684.3520,    11.98865500
          1152,           2304,        2647300,     42467.3280,    10.38509800
          1296,           2592,        3351460,     53747.7120,    10.47463100
          1440,           2880,        4138564,     66355.2000,    10.37964600
          1584,           3168,        5008612,     80289.7920,    10.93420100
          1728,           3456,        5961604,     95551.4880,    10.73090600
          1872,           3744,        6997540,    112140.2880,    10.84000400
          2064,           4128,        8507812,    136323.0720,    11.78893800
          2304,           4608,       10603012,    169869.3120,    10.79187400
          2544,           5088,       12928612,    207101.9520,    10.85288800
          2784,           5568,       15484612,    248020.9920,    10.74403300
