          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             0,              0,              4,         0.0000,    33.90854700
             0,              0,              4,         0.0000,    34.83420700
             0,              0,              4,         0.0000,    34.85111800
             0,              0,              4,         0.0000,    35.37371000
             0,              0,              4,         0.0000,    34.24061500
             0,              0,              4,         0.0000,    35.28335900
             0,              0,              4,         0.0000,    34.36852100
            60,            120,           6844,       115.2000,     7.76957500
            60,            120,           6844,       115.2000,     7.77068400
            60,            120,           6844,       115.2000,     7.77122800
            60,            120,           6844,       115.2000,     7.76882900
            60,            120,           6844,       115.2000,     7.77254700
            60,            120,           6844,       115.2000,     7.76557700
            60,            120,           6844,       115.2000,     7.76868800
           120,            240,          28084,       460.8000,     8.64445600
           120,            240,          28084,       460.8000,     8.64677000
           120,            240,          28084,       460.8000,     8.64981700
           120,            240,          28084,       460.8000,     8.65094400
           120,            240,          28084,       460.8000,     8.64752900
           180,            360,          63724,      1036.8000,     8.30583000
           180,            360,          63724,      1036.8000,     8.31181300
           180,            360,          63724,      1036.8000,     8.30826600
           240,            480,         113764,      1843.2000,     8.10238000
           240,            480,         113764,      1843.2000,     8.10203700
           300,            600,         178204,      2880.0000,     8.39766800
           300,            600,         178204,      2880.0000,     8.39384600
           360,            720,         257044,      4147.2000,     7.99714400
           360,            720,         257044,      4147.2000,     8.00033300
           420,            840,         350284,      5644.8000,     8.10787900
           480,            960,         457924,      7372.8000,     9.42813200
           540,           1080,         579964,      9331.2000,    10.15611200
           600,           1200,         716404,     11520.0000,    10.46694200
           660,           1320,         867244,     13939.2000,    10.52394000
           720,           1440,        1032484,     16588.8000,    10.25768000
           780,           1560,        1212124,     19468.8000,    10.42714800
           840,           1680,        1406164,     22579.2000,    10.41593000
           960,           1920,        1837444,     29491.2000,    10.37006000
          1080,           2160,        2326324,     37324.8000,    12.10533100
          1140,           2280,        2592364,     41587.2000,    11.84824300
          1260,           2520,        3167644,     50803.2000,    11.86280500
          1440,           2880,        4138564,     66355.2000,    11.65401900
          1560,           3120,        4857844,     77875.2000,    12.05348500
          1740,           3480,        6044764,     96883.2000,    12.28559100
          1860,           3720,        6908044,    110707.2000,    12.33255400
          2100,           4200,        8807404,    141120.0000,    12.63429100
          2280,           4560,       10383124,    166348.8000,    12.13726200
          2520,           5040,       12685684,    203212.8000,    12.06200000
          2760,           5520,       15218644,    243763.2000,    11.96179000
