          #n_i,            n_j,            lup,      Size (kB),          cy/VL
            24,             48,           1012,        18.4320,     7.68356900
            24,             48,           1012,        18.4320,     7.68658000
            24,             48,           1012,        18.4320,     7.68509600
            24,             48,           1012,        18.4320,     7.68943100
            24,             48,           1012,        18.4320,     7.68462700
            48,             96,           4324,        73.7280,     8.16946700
            48,             96,           4324,        73.7280,     8.15821700
            48,             96,           4324,        73.7280,     8.16000100
            48,             96,           4324,        73.7280,     8.20027900
            72,            144,           9940,       165.8880,     7.11925000
            72,            144,           9940,       165.8880,     7.11440300
            72,            144,           9940,       165.8880,     7.11553000
            96,            192,          17860,       294.9120,     8.01176100
            96,            192,          17860,       294.9120,     8.01182300
           120,            240,          28084,       460.8000,     7.85680100
           120,            240,          28084,       460.8000,     7.81994000
           144,            288,          40612,       663.5520,     7.76427900
           144,            288,          40612,       663.5520,     7.79942300
           168,            336,          55444,       903.1680,     7.71436100
           192,            384,          72580,      1179.6480,     7.68867900
           192,            384,          72580,      1179.6480,     7.68087700
           216,            432,          92020,      1492.9920,     7.66449300
           240,            480,         113764,      1843.2000,     7.67226500
           264,            528,         137812,      2230.2720,     7.71692700
           312,            624,         192820,      3115.0080,     7.64000400
           336,            672,         223780,      3612.6720,     7.67694700
           360,            720,         257044,      4147.2000,     7.62899700
           408,            816,         330484,      5326.8480,     7.74730000
           456,            912,         413140,      6653.9520,     8.66942500
           504,           1008,         505012,      8128.5120,     8.96159900
           552,           1104,         606100,      9750.5280,     8.87629000
           600,           1200,         716404,     11520.0000,     8.81536000
           672,           1344,         899140,     14450.6880,     8.61422600
           720,           1440,        1032484,     16588.8000,     8.60607600
           792,           1584,        1249780,     20072.4480,     8.62175800
           888,           1776,        1571764,     25233.4080,     8.61483400
           984,           1968,        1930612,     30984.1920,     9.45233600
          1080,           2160,        2326324,     37324.8000,     9.90877500
          1176,           2352,        2758900,     44255.2320,     9.67156400
          1296,           2592,        3351460,     53747.7120,     9.73441700
          1440,           2880,        4138564,     66355.2000,     9.74499300
          1584,           3168,        5008612,     80289.7920,    10.01465600
          1728,           3456,        5961604,     95551.4880,    10.15605800
          1896,           3792,        7178260,    115034.1120,    10.13173500
          2088,           4176,        8706964,    139511.8080,    10.11689800
          2304,           4608,       10603012,    169869.3120,    10.14127500
          2544,           5088,       12928612,    207101.9520,    10.24149100
          2808,           5616,       15752884,    252315.6480,    10.23528200
