          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             0,              0,              4,         0.0000,    28.07007700
             0,              0,              4,         0.0000,    28.08325600
             0,              0,              4,         0.0000,    28.07151800
             0,              0,              4,         0.0000,    28.07678900
             0,              0,              4,         0.0000,    28.07351500
             0,              0,              4,         0.0000,    28.07503700
            52,            104,           5100,        86.5280,     8.17377700
            52,            104,           5100,        86.5280,     8.16901200
            52,            104,           5100,        86.5280,     8.17646900
            52,            104,           5100,        86.5280,     8.17081400
            52,            104,           5100,        86.5280,     8.17112300
            52,            104,           5100,        86.5280,     8.16650900
            52,            104,           5100,        86.5280,     8.16695300
           104,            208,          21012,       346.1120,     8.71609500
           104,            208,          21012,       346.1120,     8.71661700
           104,            208,          21012,       346.1120,     8.71359000
           104,            208,          21012,       346.1120,     8.71520500
           156,            312,          47740,       778.7520,     8.31370300
           156,            312,          47740,       778.7520,     8.30995600
           156,            312,          47740,       778.7520,     8.31819600
           208,            416,          85284,      1384.4480,     8.17141400
           208,            416,          85284,      1384.4480,     8.17002800
           208,            416,          85284,      1384.4480,     8.17211300
           260,            520,         133644,      2163.2000,     8.11223400
           312,            624,         192820,      3115.0080,     7.98694000
           312,            624,         192820,      3115.0080,     7.98277900
           364,            728,         262812,      4239.8720,     7.90958200
           416,            832,         343620,      5537.7920,     9.30285400
           416,            832,         343620,      5537.7920,     9.55129400
           468,            936,         435244,      7008.7680,     9.51662900
           520,           1040,         537684,      8652.8000,     9.80849900
           572,           1144,         650940,     10469.8880,    10.39179000
           624,           1248,         775012,     12460.0320,    10.55550900
           728,           1456,        1055604,     16959.4880,    10.55915800
           780,           1560,        1212124,     19468.8000,    10.73141300
           884,           1768,        1557612,     25006.5920,    10.62660100
           936,           1872,        1746580,     28035.0720,    10.72373000
          1040,           2080,        2156964,     34611.2000,    12.76335200
          1144,           2288,        2610612,     41879.5520,    12.69580700
          1300,           2600,        3372204,     54080.0000,    13.17711000
          1404,           2808,        3934012,     63078.9120,    13.07402700
          1560,           3120,        4857844,     77875.2000,    12.88574200
          1716,           3432,        5879020,     94228.9920,    13.52497300
          1872,           3744,        6997540,    112140.2880,    12.69860700
          2080,           4160,        8640324,    138444.8000,    12.90550500
          2288,           4576,       10456164,    167518.2080,    12.72533300
          2548,           5096,       12969324,    207753.7280,    13.52568600
          2808,           5616,       15752884,    252315.6480,    12.72750400
