          #n_i,            n_j,            lup,      Size (kB),          cy/VL
            32,             64,           1860,        32.7680,     8.41866000
            32,             64,           1860,        32.7680,     8.41785500
            32,             64,           1860,        32.7680,     8.42082300
            32,             64,           1860,        32.7680,     8.41770700
            32,             64,           1860,        32.7680,     8.41744900
            48,             96,           4324,        73.7280,     9.79166300
            48,             96,           4324,        73.7280,     9.74457200
            48,             96,           4324,        73.7280,     9.74520300
            64,            128,           7812,       131.0720,     8.01969500
            64,            128,           7812,       131.0720,     8.02399800
            80,            160,          12324,       204.8000,     8.27995700
            80,            160,          12324,       204.8000,     8.28208000
            96,            192,          17860,       294.9120,    10.60614600
            96,            192,          17860,       294.9120,    10.61271900
           112,            224,          24420,       401.4080,    10.59844000
           128,            256,          32004,       524.2880,    10.38728100
           144,            288,          40612,       663.5520,    10.37998100
           160,            320,          50244,       819.2000,    10.42453200
           176,            352,          60900,       991.2320,    10.28651600
           192,            384,          72580,      1179.6480,    10.31309500
           208,            416,          85284,      1384.4480,    10.28441000
           224,            448,          99012,      1605.6320,    10.28210100
           256,            512,         129540,      2097.1520,    10.21351000
           272,            544,         146340,      2367.4880,    10.15736800
           304,            608,         183012,      2957.3120,    10.28814500
           336,            672,         223780,      3612.6720,    10.26341300
           368,            736,         268644,      4333.5680,    10.32952000
           416,            832,         343620,      5537.7920,    10.37491900
           448,            896,         398724,      6422.5280,    11.01569700
           496,            992,         489060,      7872.5120,    11.21472500
           544,           1088,         588612,      9469.9520,    10.98806600
           608,           1216,         735684,     11829.2480,    11.02444500
           672,           1344,         899140,     14450.6880,    11.06668500
           736,           1472,        1078980,     17334.2720,    10.98538800
           800,           1600,        1275204,     20480.0000,    11.04498000
           880,           1760,        1543524,     24780.8000,    11.08741900
           976,           1952,        1899300,     30482.4320,    11.14011300
          1072,           2144,        2291940,     36773.8880,    11.93476400
          1184,           2368,        2796612,     44859.3920,    11.74026600
          1296,           2592,        3351460,     53747.7120,    11.90167900
          1440,           2880,        4138564,     66355.2000,    11.79283300
          1584,           3168,        5008612,     80289.7920,    11.99933900
          1728,           3456,        5961604,     95551.4880,    12.18010000
          1904,           3808,        7239012,    116006.9120,    12.20146600
          2096,           4192,        8773860,    140582.9120,    12.17255300
          2320,           4640,       10750884,    172236.8000,    12.29616500
          2544,           5088,       12928612,    207101.9520,    12.25184500
          2800,           5600,       15663204,    250880.0000,    12.28962200
