          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             0,              0,              4,         0.0000,    30.12307000
             0,              0,              4,         0.0000,    30.16100300
            36,             72,           2380,        41.4720,     7.72774200
            36,             72,           2380,        41.4720,     7.72719500
            36,             72,           2380,        41.4720,     7.72649100
            36,             72,           2380,        41.4720,     7.72958400
            36,             72,           2380,        41.4720,     7.72630800
            36,             72,           2380,        41.4720,     7.72849500
            36,             72,           2380,        41.4720,     7.72685100
            72,            144,           9940,       165.8880,     7.34681700
            72,            144,           9940,       165.8880,     7.34851700
            72,            144,           9940,       165.8880,     7.34694700
            72,            144,           9940,       165.8880,     7.35052200
           108,            216,          22684,       373.2480,     7.33284900
           108,            216,          22684,       373.2480,     7.33212900
           108,            216,          22684,       373.2480,     7.33189700
           144,            288,          40612,       663.5520,     7.11163500
           144,            288,          40612,       663.5520,     7.10583200
           144,            288,          40612,       663.5520,     7.10488300
           180,            360,          63724,      1036.8000,     7.09352200
           180,            360,          63724,      1036.8000,     7.09419600
           216,            432,          92020,      1492.9920,     7.16422800
           252,            504,         125500,      2032.1280,     7.07506800
           252,            504,         125500,      2032.1280,     7.07411300
           288,            576,         164164,      2654.2080,     7.07289500
           324,            648,         208012,      3359.2320,     7.03611600
           360,            720,         257044,      4147.2000,     7.13253500
           396,            792,         311260,      5018.1120,     7.17532300
           432,            864,         370660,      5971.9680,     8.05537500
           504,           1008,         505012,      8128.5120,     8.13604500
           540,           1080,         579964,      9331.2000,     8.17114900
           576,           1152,         660100,     10616.8320,     8.61735800
           648,           1296,         835924,     13436.9280,     8.24075500
           720,           1440,        1032484,     16588.8000,     8.10992700
           792,           1584,        1249780,     20072.4480,     8.17090900
           864,           1728,        1487812,     23887.8720,     8.09402100
           972,           1944,        1883740,     30233.0880,     8.97313300
          1080,           2160,        2326324,     37324.8000,    10.89805000
          1188,           2376,        2815564,     45163.0080,     9.55195100
          1296,           2592,        3351460,     53747.7120,     9.53828000
          1440,           2880,        4138564,     66355.2000,     9.60286400
          1584,           3168,        5008612,     80289.7920,    10.03500400
          1728,           3456,        5961604,     95551.4880,     9.93166400
          1908,           3816,        7269484,    116494.8480,     9.97666900
          2088,           4176,        8706964,    139511.8080,    10.38826000
          2304,           4608,       10603012,    169869.3120,     9.93617000
          2520,           5040,       12685684,    203212.8000,    10.01432900
          2808,           5616,       15752884,    252315.6480,     9.98942700
