          #n_i,            n_j,            lup,      Size (kB),          cy/VL
            24,             48,           1012,        18.4320,     9.32165000
            24,             48,           1012,        18.4320,     9.32069100
            36,             72,           2380,        41.4720,     9.10851100
            36,             72,           2380,        41.4720,     9.11391900
            36,             72,           2380,        41.4720,     9.11066500
            48,             96,           4324,        73.7280,    10.47418400
            48,             96,           4324,        73.7280,    10.40419100
            60,            120,           6844,       115.2000,     8.78478400
            60,            120,           6844,       115.2000,     8.78164800
            72,            144,           9940,       165.8880,     8.99171600
            72,            144,           9940,       165.8880,     8.98721000
            84,            168,          13612,       225.7920,    10.36459600
            96,            192,          17860,       294.9120,    10.22926000
           108,            216,          22684,       373.2480,    10.04076600
           120,            240,          28084,       460.8000,     9.97912800
           132,            264,          34060,       557.5680,    10.00113000
           144,            288,          40612,       663.5520,     9.94474700
           156,            312,          47740,       778.7520,     9.87944600
           168,            336,          55444,       903.1680,     9.86239200
           192,            384,          72580,      1179.6480,     9.79481000
           204,            408,          82012,      1331.7120,     9.85720800
           228,            456,         102604,      1663.4880,     9.79694200
           252,            504,         125500,      2032.1280,     9.82411100
           276,            552,         150700,      2437.6320,     9.78207900
           312,            624,         192820,      3115.0080,     9.85583700
           336,            672,         223780,      3612.6720,     9.79953400
           372,            744,         274540,      4428.2880,     9.81251700
           408,            816,         330484,      5326.8480,    10.49962900
           456,            912,         413140,      6653.9520,    10.40990800
           504,           1008,         505012,      8128.5120,    10.72188400
           552,           1104,         606100,      9750.5280,    10.68999900
           600,           1200,         716404,     11520.0000,    10.78263300
           672,           1344,         899140,     14450.6880,    10.69900000
           732,           1464,        1067260,     17146.3680,    10.67499700
           804,           1608,        1288012,     20685.3120,    10.69321600
           888,           1776,        1571764,     25233.4080,    10.67639200
           984,           1968,        1930612,     30984.1920,    11.18715300
          1080,           2160,        2326324,     37324.8000,    11.32030200
          1188,           2376,        2815564,     45163.0080,    11.00803700
          1308,           2616,        3413884,     54747.6480,    11.03415800
          1440,           2880,        4138564,     66355.2000,    11.09740500
          1584,           3168,        5008612,     80289.7920,    11.37834700
          1740,           3480,        6044764,     96883.2000,    11.53599200
          1908,           3816,        7269484,    116494.8480,    11.51010200
          2100,           4200,        8807404,    141120.0000,    11.48970600
          2316,           4632,       10713820,    171643.3920,    11.67203900
          2544,           5088,       12928612,    207101.9520,    11.52035600
          2808,           5616,       15752884,    252315.6480,    11.55293500
