          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             0,              0,              4,         0.0000,    34.81299100
             0,              0,              4,         0.0000,    35.14198000
             0,              0,              4,         0.0000,    34.72887700
             0,              0,              4,         0.0000,    33.86295400
             0,              0,              4,         0.0000,    34.96515800
             0,              0,              4,         0.0000,    34.97388400
            56,            112,           5940,       100.3520,     8.25030200
            56,            112,           5940,       100.3520,     8.24165000
            56,            112,           5940,       100.3520,     8.23597900
            56,            112,           5940,       100.3520,     8.23586500
            56,            112,           5940,       100.3520,     8.24544200
            56,            112,           5940,       100.3520,     8.23978700
            56,            112,           5940,       100.3520,     8.24461700
            56,            112,           5940,       100.3520,     8.24222300
           112,            224,          24420,       401.4080,     7.70806200
           112,            224,          24420,       401.4080,     7.70215500
           112,            224,          24420,       401.4080,     7.69747100
           112,            224,          24420,       401.4080,     7.70665200
           168,            336,          55444,       903.1680,     7.50405600
           168,            336,          55444,       903.1680,     7.50411400
           168,            336,          55444,       903.1680,     7.50479300
           224,            448,          99012,      1605.6320,     7.41604700
           224,            448,          99012,      1605.6320,     7.41414400
           280,            560,         155124,      2508.8000,     7.60203500
           280,            560,         155124,      2508.8000,     7.60338300
           336,            672,         223780,      3612.6720,     7.37720100
           336,            672,         223780,      3612.6720,     7.37311400
           392,            784,         304980,      4917.2480,     7.45823700
           448,            896,         398724,      6422.5280,     8.33838900
           504,           1008,         505012,      8128.5120,     8.11104500
           504,           1008,         505012,      8128.5120,     8.12123000
           560,           1120,         623844,     10035.2000,     8.89931500
           672,           1344,         899140,     14450.6880,     8.51332200
           728,           1456,        1055604,     16959.4880,     8.69002500
           784,           1568,        1224612,     19668.9920,     8.65623000
           840,           1680,        1406164,     22579.2000,     8.88134100
           952,           1904,        1806900,     29001.7280,     8.86832500
          1064,           2128,        2257812,     36227.0720,    11.28625000
          1176,           2352,        2758900,     44255.2320,    10.67790500
          1288,           2576,        3310164,     53086.2080,    10.78482400
          1400,           2800,        3911604,     62720.0000,    10.82588300
          1568,           3136,        4907844,     78675.9680,    11.10213200
          1736,           3472,        6016980,     96438.2720,    11.08755200
          1904,           3808,        7239012,    116006.9120,    11.18356500
          2072,           4144,        8573940,    137381.8880,    11.38858400
          2296,           4592,       10529460,    168691.7120,    11.20032700
          2520,           5040,       12685684,    203212.8000,    11.14934700
          2800,           5600,       15663204,    250880.0000,    11.14339500
