          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             0,              0,              4,         0.0000,    28.08680400
             0,              0,              4,         0.0000,    28.07302400
             0,              0,              4,         0.0000,    28.07502100
             0,              0,              4,         0.0000,    28.07289300
             0,              0,              4,         0.0000,    28.08482700
             0,              0,              4,         0.0000,    28.07220500
             0,              0,              4,         0.0000,    28.07171400
             0,              0,              4,         0.0000,    28.07233600
            64,            128,           7812,       131.0720,     8.61577300
            64,            128,           7812,       131.0720,     8.61382200
            64,            128,           7812,       131.0720,     8.61636600
            64,            128,           7812,       131.0720,     8.61623300
            64,            128,           7812,       131.0720,     8.62128900
            64,            128,           7812,       131.0720,     8.61451000
            64,            128,           7812,       131.0720,     8.61670100
           128,            256,          32004,       524.2880,     8.67283600
           128,            256,          32004,       524.2880,     8.67753200
           128,            256,          32004,       524.2880,     8.68243000
           128,            256,          32004,       524.2880,     8.67405400
           192,            384,          72580,      1179.6480,     8.61451000
           192,            384,          72580,      1179.6480,     8.61291600
           192,            384,          72580,      1179.6480,     8.62036000
           256,            512,         129540,      2097.1520,     8.41723500
           256,            512,         129540,      2097.1520,     8.43388600
           256,            512,         129540,      2097.1520,     8.42311700
           320,            640,         202884,      3276.8000,     8.40442700
           320,            640,         202884,      3276.8000,     8.40188500
           384,            768,         292612,      4718.5920,     8.36641200
           448,            896,         398724,      6422.5280,     9.42671300
           448,            896,         398724,      6422.5280,     9.56803000
           512,           1024,         521220,      8388.6080,     9.49412200
           576,           1152,         660100,     10616.8320,    10.14945000
           640,           1280,         815364,     13107.2000,    10.13704900
           704,           1408,         987012,     15859.7120,    10.26828100
           768,           1536,        1175044,     18874.3680,    10.16565400
           832,           1664,        1379460,     22151.1680,    10.35593500
           960,           1920,        1837444,     29491.2000,    10.27221700
          1024,           2048,        2091012,     33554.4320,    12.12234400
          1152,           2304,        2647300,     42467.3280,    11.98289100
          1280,           2560,        3269124,     52428.8000,    11.94649900
          1408,           2816,        3956484,     63438.8480,    12.02717600
          1536,           3072,        4709380,     75497.4720,    12.26235300
          1728,           3456,        5961604,     95551.4880,    12.46222700
          1856,           3712,        6878340,    110231.5520,    12.57237100
          2048,           4096,        8376324,    134217.7280,    13.07486700
          2304,           4608,       10603012,    169869.3120,    12.39647500
          2496,           4992,       12445060,    199360.5120,    12.44507900
          2752,           5504,       15130500,    242352.1280,    12.36614900
