          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             0,              0,              4,         0.0000,    28.07528300
             0,              0,              4,         0.0000,    28.07171400
             0,              0,              4,         0.0000,    28.08088300
             0,              0,              4,         0.0000,    28.08572800
            44,             88,           3612,        61.9520,     7.89054700
            44,             88,           3612,        61.9520,     7.88549500
            44,             88,           3612,        61.9520,     7.88386500
            44,             88,           3612,        61.9520,     7.88623500
            44,             88,           3612,        61.9520,     7.88333900
            44,             88,           3612,        61.9520,     7.88438700
            44,             88,           3612,        61.9520,     7.88646500
            88,            176,          14964,       247.8080,     7.57498100
            88,            176,          14964,       247.8080,     7.58205000
            88,            176,          14964,       247.8080,     7.57047100
            88,            176,          14964,       247.8080,     7.58537100
           132,            264,          34060,       557.5680,     7.46359300
           132,            264,          34060,       557.5680,     7.47549300
           132,            264,          34060,       557.5680,     7.46858400
           176,            352,          60900,       991.2320,     7.28183100
           176,            352,          60900,       991.2320,     7.27899600
           176,            352,          60900,       991.2320,     7.28246800
           220,            440,          95484,      1548.8000,     7.20725900
           220,            440,          95484,      1548.8000,     7.20155900
           264,            528,         137812,      2230.2720,     7.20343100
           308,            616,         187884,      3035.6480,     7.19506200
           308,            616,         187884,      3035.6480,     7.21120800
           352,            704,         245700,      3964.9280,     7.16459400
           396,            792,         311260,      5018.1120,     7.85391200
           440,            880,         384564,      6195.2000,     8.13539200
           484,            968,         465612,      7496.1920,     8.09822100
           528,           1056,         554404,      8921.0880,     8.83364900
           572,           1144,         650940,     10469.8880,     8.53705400
           660,           1320,         867244,     13939.2000,     8.38806900
           704,           1408,         987012,     15859.7120,     8.33804400
           792,           1584,        1249780,     20072.4480,     8.33244200
           880,           1760,        1543524,     24780.8000,     8.39776600
           968,           1936,        1868244,     29984.7680,     8.89320000
          1056,           2112,        2223940,     35684.3520,    12.08758100
          1188,           2376,        2815564,     45163.0080,    10.36118600
          1276,           2552,        3248700,     52101.6320,    10.37119100
          1408,           2816,        3956484,     63438.8480,    10.46741300
          1584,           3168,        5008612,     80289.7920,    10.84324400
          1716,           3432,        5879020,     94228.9920,    10.76254700
          1892,           3784,        7147980,    114549.2480,    10.78714100
          2068,           4136,        8540844,    136851.9680,    11.00396100
          2288,           4576,       10456164,    167518.2080,    10.80431200
          2552,           5104,       13010100,    208406.5280,    10.84523200
          2772,           5544,       15351340,    245887.4880,    10.76952700
