          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             0,              0,              4,         0.0000,    29.75104100
             0,              0,              4,         0.0000,    29.74609700
             0,              0,              4,         0.0000,    29.81023900
            40,             80,           2964,        51.2000,     7.84742300
            40,             80,           2964,        51.2000,     7.85570700
            40,             80,           2964,        51.2000,     7.83134400
            40,             80,           2964,        51.2000,     7.85927800
            40,             80,           2964,        51.2000,     7.85121100
            40,             80,           2964,        51.2000,     7.84896100
            40,             80,           2964,        51.2000,     7.85619600
            80,            160,          12324,       204.8000,     7.05688700
            80,            160,          12324,       204.8000,     7.05903600
            80,            160,          12324,       204.8000,     7.05685700
            80,            160,          12324,       204.8000,     7.06076000
           120,            240,          28084,       460.8000,     7.35200400
           120,            240,          28084,       460.8000,     7.33064200
           120,            240,          28084,       460.8000,     7.34785000
           160,            320,          50244,       819.2000,     7.06456400
           160,            320,          50244,       819.2000,     7.06293300
           160,            320,          50244,       819.2000,     7.06318900
           200,            400,          78804,      1280.0000,     7.19810900
           200,            400,          78804,      1280.0000,     7.18865700
           240,            480,         113764,      1843.2000,     7.03724700
           280,            560,         155124,      2508.8000,     7.13079400
           280,            560,         155124,      2508.8000,     7.12983200
           320,            640,         202884,      3276.8000,     6.97313100
           360,            720,         257044,      4147.2000,     7.04526200
           400,            800,         317604,      5120.0000,     7.18692100
           440,            880,         384564,      6195.2000,     8.29716500
           480,            960,         457924,      7372.8000,     7.76172100
           520,           1040,         537684,      8652.8000,     7.90388500
           600,           1200,         716404,     11520.0000,     8.10477800
           640,           1280,         815364,     13107.2000,     8.02513900
           720,           1440,        1032484,     16588.8000,     8.00577400
           800,           1600,        1275204,     20480.0000,     8.14691300
           880,           1760,        1543524,     24780.8000,     8.01406100
           960,           1920,        1837444,     29491.2000,     8.52697000
          1080,           2160,        2326324,     37324.8000,    10.84782700
          1160,           2320,        2684244,     43059.2000,     9.96639900
          1280,           2560,        3269124,     52428.8000,     9.91719100
          1440,           2880,        4138564,     66355.2000,     9.96085900
          1560,           3120,        4857844,     77875.2000,    10.26725300
          1720,           3440,        5906484,     94668.8000,    10.31843900
          1880,           3760,        7057524,    113100.8000,    10.31828200
          2080,           4160,        8640324,    138444.8000,    10.47568400
          2320,           4640,       10750884,    172236.8000,    10.40439900
          2520,           5040,       12685684,    203212.8000,    10.35151100
          2800,           5600,       15663204,    250880.0000,    10.31324800
