          #n_i,            n_j,            lup,      Size (kB),          cy/VL
            32,             64,           1860,        32.7680,     7.48491600
            32,             64,           1860,        32.7680,     7.48398900
            32,             64,           1860,        32.7680,     7.48677600
            32,             64,           1860,        32.7680,     7.48182600
            32,             64,           1860,        32.7680,     7.48478500
            32,             64,           1860,        32.7680,     7.48484300
            32,             64,           1860,        32.7680,     7.48244000
            32,             64,           1860,        32.7680,     7.48628200
            64,            128,           7812,       131.0720,     7.54400200
            64,            128,           7812,       131.0720,     7.54550800
            64,            128,           7812,       131.0720,     7.54460400
            64,            128,           7812,       131.0720,     7.54943000
            96,            192,          17860,       294.9120,     7.71652900
            96,            192,          17860,       294.9120,     7.71545300
            96,            192,          17860,       294.9120,     7.76021600
           128,            256,          32004,       524.2880,     7.53366700
           128,            256,          32004,       524.2880,     7.53026200
           160,            320,          50244,       819.2000,     7.50535500
           160,            320,          50244,       819.2000,     7.54074900
           192,            384,          72580,      1179.6480,     7.42342600
           192,            384,          72580,      1179.6480,     7.42299500
           224,            448,          99012,      1605.6320,     7.42577900
           256,            512,         129540,      2097.1520,     7.41697500
           256,            512,         129540,      2097.1520,     7.39478100
           288,            576,         164164,      2654.2080,     7.38546900
           320,            640,         202884,      3276.8000,     7.38479700
           352,            704,         245700,      3964.9280,     7.41786800
           416,            832,         343620,      5537.7920,     7.61668700
           448,            896,         398724,      6422.5280,     8.75536000
           480,            960,         457924,      7372.8000,     8.17492100
           544,           1088,         588612,      9469.9520,     8.68618500
           608,           1216,         735684,     11829.2480,     8.49821800
           672,           1344,         899140,     14450.6880,     8.34996400
           736,           1472,        1078980,     17334.2720,     8.29462200
           800,           1600,        1275204,     20480.0000,     8.29673700
           864,           1728,        1487812,     23887.8720,     8.30846600
           960,           1920,        1837444,     29491.2000,     9.70505800
          1056,           2112,        2223940,     35684.3520,    12.54904300
          1184,           2368,        2796612,     44859.3920,     9.43674600
          1280,           2560,        3269124,     52428.8000,     9.42963300
          1440,           2880,        4138564,     66355.2000,     9.50733900
          1568,           3136,        4907844,     78675.9680,     9.78003200
          1728,           3456,        5961604,     95551.4880,     9.90513000
          1888,           3776,        7117764,    114065.4080,     9.88886600
          2080,           4160,        8640324,    138444.8000,     9.94111700
          2304,           4608,       10603012,    169869.3120,     9.90397600
          2528,           5056,       12766404,    204505.0880,     9.95459300
          2784,           5568,       15484612,    248020.9920,     9.90657300
