          #n_i,            n_j,            lup,      Size (kB),          cy/VL
            32,             64,           1860,        32.7680,    10.45894800
            32,             64,           1860,        32.7680,    10.46352500
            32,             64,           1860,        32.7680,    10.46225400
            40,             80,           2964,        51.2000,     9.41994400
            40,             80,           2964,        51.2000,     9.42159900
            48,             96,           4324,        73.7280,    12.32663000
            56,            112,           5940,       100.3520,    11.34211500
            56,            112,           5940,       100.3520,    11.34082200
            64,            128,           7812,       131.0720,     9.43884100
            72,            144,           9940,       165.8880,     9.33409400
            80,            160,          12324,       204.8000,     9.39892100
            88,            176,          14964,       247.8080,    13.30214600
            96,            192,          17860,       294.9120,    13.44763200
           104,            208,          21012,       346.1120,    13.14380100
           120,            240,          28084,       460.8000,    13.16089800
           128,            256,          32004,       524.2880,    12.99389600
           144,            288,          40612,       663.5520,    13.09400000
           160,            320,          50244,       819.2000,    12.87939000
           176,            352,          60900,       991.2320,    12.84943200
           192,            384,          72580,      1179.6480,    12.90892500
           208,            416,          85284,      1384.4480,    12.79627300
           232,            464,         106260,      1722.3680,    12.86456200
           256,            512,         129540,      2097.1520,    12.88669800
           280,            560,         155124,      2508.8000,    12.69643500
           312,            624,         192820,      3115.0080,    12.72387000
           344,            688,         234612,      3786.7520,    12.76935300
           376,            752,         280500,      4524.0320,    12.75699100
           416,            832,         343620,      5537.7920,    13.09342400
           456,            912,         413140,      6653.9520,    13.15228100
           504,           1008,         505012,      8128.5120,    13.55248100
           552,           1104,         606100,      9750.5280,    13.43200400
           608,           1216,         735684,     11829.2480,    13.62310300
           672,           1344,         899140,     14450.6880,    13.49509800
           736,           1472,        1078980,     17334.2720,    13.57534500
           808,           1616,        1300884,     20891.6480,    13.48982600
           888,           1776,        1571764,     25233.4080,    13.53404700
           984,           1968,        1930612,     30984.1920,    13.79475600
          1080,           2160,        2326324,     37324.8000,    13.86428600
          1184,           2368,        2796612,     44859.3920,    13.70298200
          1304,           2608,        3393012,     54413.3120,    13.59870000
          1440,           2880,        4138564,     66355.2000,    13.73793200
          1584,           3168,        5008612,     80289.7920,    13.97569400
          1736,           3472,        6016980,     96438.2720,    14.10542900
          1912,           3824,        7300020,    116983.8080,    14.11309300
          2104,           4208,        8841012,    141658.1120,    14.09525800
          2320,           4640,       10750884,    172236.8000,    14.14692100
          2552,           5104,       13010100,    208406.5280,    14.17772900
          2808,           5616,       15752884,    252315.6480,    14.20117300
