          #n_i,            n_j,            lup,      Size (kB),          cy/VL
            32,             64,           1860,        32.7680,    11.53662400
            32,             64,           1860,        32.7680,    11.53632500
            36,             72,           2380,        41.4720,     9.33514900
            40,             80,           2964,        51.2000,     9.23879900
            44,             88,           3612,        61.9520,     9.09928700
            48,             96,           4324,        73.7280,    14.17919000
            56,            112,           5940,       100.3520,    12.31199200
            60,            120,           6844,       115.2000,     9.47149800
            68,            136,           8844,       147.9680,    12.88990700
            72,            144,           9940,       165.8880,     9.18267400
            80,            160,          12324,       204.8000,     9.13208300
            88,            176,          14964,       247.8080,    14.41944800
           100,            200,          19404,       320.0000,    14.58967400
           108,            216,          22684,       373.2480,    13.97227800
           120,            240,          28084,       460.8000,    14.03034300
           132,            264,          34060,       557.5680,    14.01194600
           144,            288,          40612,       663.5520,    13.79974900
           160,            320,          50244,       819.2000,    13.75732500
           176,            352,          60900,       991.2320,    13.65156300
           192,            384,          72580,      1179.6480,    13.43350400
           212,            424,          88620,      1438.2080,    13.46796200
           232,            464,         106260,      1722.3680,    13.43926900
           256,            512,         129540,      2097.1520,    13.31615700
           284,            568,         159612,      2580.9920,    13.40054900
           312,            624,         192820,      3115.0080,    13.45017500
           344,            688,         234612,      3786.7520,    13.38842800
           376,            752,         280500,      4524.0320,    13.45777900
           416,            832,         343620,      5537.7920,    13.37947800
           456,            912,         413140,      6653.9520,    14.06079200
           504,           1008,         505012,      8128.5120,    14.08608300
           552,           1104,         606100,      9750.5280,    14.14005600
           608,           1216,         735684,     11829.2480,    14.15478600
           672,           1344,         899140,     14450.6880,    14.16808000
           736,           1472,        1078980,     17334.2720,    14.00014200
           812,           1624,        1313820,     21099.0080,    14.12773800
           892,           1784,        1585980,     25461.2480,    13.99786000
           984,           1968,        1930612,     30984.1920,    14.16719100
          1080,           2160,        2326324,     37324.8000,    14.71537400
          1188,           2376,        2815564,     45163.0080,    14.27008900
          1308,           2616,        3413884,     54747.6480,    14.27282400
          1440,           2880,        4138564,     66355.2000,    14.41219100
          1584,           3168,        5008612,     80289.7920,    14.67451000
          1740,           3480,        6044764,     96883.2000,    14.83654500
          1916,           3832,        7330620,    117473.7920,    14.82754500
          2108,           4216,        8874684,    142197.2480,    14.85078300
          2320,           4640,       10750884,    172236.8000,    14.79635900
          2552,           5104,       13010100,    208406.5280,    14.89392500
          2808,           5616,       15752884,    252315.6480,    14.84915400
