          #n_i,            n_j,            lup,      Size (kB),          cy/VL
            28,             56,           1404,        25.0880,     7.67154700
            28,             56,           1404,        25.0880,     7.40600800
            28,             56,           1404,        25.0880,     7.78946100
            28,             56,           1404,        25.0880,     7.62198300
            28,             56,           1404,        25.0880,     7.66366200
            28,             56,           1404,        25.0880,     7.65990400
            56,            112,           5940,       100.3520,     7.67353000
            56,            112,           5940,       100.3520,     7.67005200
            56,            112,           5940,       100.3520,     7.67329900
            56,            112,           5940,       100.3520,     7.67600400
            56,            112,           5940,       100.3520,     7.67234500
            84,            168,          13612,       225.7920,     7.67725300
            84,            168,          13612,       225.7920,     7.67950200
            84,            168,          13612,       225.7920,     7.66051400
           112,            224,          24420,       401.4080,     7.44911100
           112,            224,          24420,       401.4080,     7.42791500
           140,            280,          38364,       627.2000,     7.30149200
           140,            280,          38364,       627.2000,     7.30971200
           168,            336,          55444,       903.1680,     7.28520800
           168,            336,          55444,       903.1680,     7.27395500
           196,            392,          75660,      1229.3120,     7.24390400
           224,            448,          99012,      1605.6320,     7.25565100
           252,            504,         125500,      2032.1280,     7.23222100
           280,            560,         155124,      2508.8000,     7.28119200
           308,            616,         187884,      3035.6480,     7.22842000
           336,            672,         223780,      3612.6720,     7.20112700
           364,            728,         262812,      4239.8720,     7.27310700
           392,            784,         304980,      4917.2480,     7.27933300
           448,            896,         398724,      6422.5280,     8.11502300
           504,           1008,         505012,      8128.5120,     7.96640200
           532,           1064,         562860,      9056.7680,     8.23171400
           588,           1176,         687964,     11063.8080,     8.56011100
           672,           1344,         899140,     14450.6880,     8.23636500
           728,           1456,        1055604,     16959.4880,     8.24605400
           812,           1624,        1313820,     21099.0080,     8.23276800
           868,           1736,        1501644,     24109.5680,     8.21037500
           980,           1960,        1914924,     30732.8000,     8.78417200
          1064,           2128,        2257812,     36227.0720,    10.93412300
          1176,           2352,        2758900,     44255.2320,     9.56902600
          1288,           2576,        3310164,     53086.2080,     9.68586200
          1428,           2856,        4069804,     65253.8880,     9.61447700
          1568,           3136,        4907844,     78675.9680,     9.87999400
          1736,           3472,        6016980,     96438.2720,     9.96418200
          1904,           3808,        7239012,    116006.9120,     9.90459600
          2100,           4200,        8807404,    141120.0000,     9.92491500
          2296,           4592,       10529460,    168691.7120,     9.98899200
          2548,           5096,       12969324,    207753.7280,    10.02848300
          2800,           5600,       15663204,    250880.0000,     9.97545100
