          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,             64,             62,         3.0720,    10.71033600
             3,             64,             62,         3.0720,    10.72057200
             3,             64,             62,         3.0720,    10.70817300
             3,             96,             94,         4.6080,     9.01401200
             3,            128,            126,         6.1440,     8.47450000
             3,            128,            126,         6.1440,     8.47824700
             3,            160,            158,         7.6800,     8.18966800
             3,            224,            222,        10.7520,     7.93862100
             3,            256,            254,        12.2880,     7.82942900
             3,            320,            318,        15.3600,     7.59273100
             3,            384,            382,        18.4320,     8.49066900
             3,            448,            446,        21.5040,     7.38115900
             3,            544,            542,        26.1120,     7.32133400
             3,            672,            670,        32.2560,     7.90375900
             3,            800,            798,        38.4000,     8.09238300
             3,            960,            958,        46.0800,     7.87589000
             3,           1152,           1150,        55.2960,     7.16718100
             3,           1408,           1406,        67.5840,     7.09212200
             3,           1696,           1694,        81.4080,     8.03814000
             3,           2016,           2014,        96.7680,     7.47585000
             3,           2432,           2430,       116.7360,     9.92869600
             3,           2912,           2910,       139.7760,     9.44015600
             3,           3520,           3518,       168.9600,    10.74339400
             3,           4224,           4222,       202.7520,    10.11737500
             3,           5056,           5054,       242.6880,    11.23257700
             3,           6080,           6078,       291.8400,    11.26837000
             3,           7296,           7294,       350.2080,    11.57270900
             3,           8768,           8766,       420.8640,    10.93987200
             3,          10496,          10494,       503.8080,    11.17729400
             3,          12608,          12606,       605.1840,    11.10553100
             3,          15136,          15134,       726.5280,    11.06998300
             3,          18176,          18174,       872.4480,    11.00494200
             3,          21824,          21822,      1047.5520,    10.94340700
             3,          26176,          26174,      1256.4480,    10.85543200
             3,          31424,          31422,      1508.3520,    10.94835000
             3,          37696,          37694,      1809.4080,    10.88769700
             3,          45248,          45246,      2171.9040,    11.82289500
             3,          54304,          54302,      2606.5920,    11.04106900
             3,          65152,          65150,      3127.2960,    10.91248800
             3,          78176,          78174,      3752.4480,    10.89923900
             3,          93824,          93822,      4503.5520,    10.87901200
             3,         112608,         112606,      5405.1840,    10.80990600
             3,         135136,         135134,      6486.5280,    10.79517800
             3,         162144,         162142,      7782.9120,    11.53980600
             3,         194592,         194590,      9340.4160,    12.13388700
             3,         233504,         233502,     11208.1920,    11.82796100
             3,         280224,         280222,     13450.7520,    12.66596400
             3,         336256,         336254,     16140.2880,    12.43976300
             3,         403520,         403518,     19368.9600,    12.53496000
             3,         484224,         484222,     23242.7520,    12.63742100
             3,         581056,         581054,     27890.6880,    12.38962700
             3,         697280,         697278,     33469.4400,    12.54354100
             3,         836736,         836734,     40163.3280,    12.51691500
             3,        1004096,        1004094,     48196.6080,    12.48360000
             3,        1204896,        1204894,     57835.0080,    12.42858200
             3,        1445888,        1445886,     69402.6240,    11.99512800
             3,        1735072,        1735070,     83283.4560,    12.59204500
             3,        2082080,        2082078,     99939.8400,    12.56693000
             3,        2498496,        2498494,    119927.8080,    12.50290400
             3,        2998208,        2998206,    143913.9840,    12.73136800
             3,        3597856,        3597854,    172697.0880,    13.61088000
