          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,              0,             -2,         0.0000,  -459.36537800
             3,              0,             -2,         0.0000,  -459.11996200
             3,              0,             -2,         0.0000,  -458.54748800
             3,             96,             94,         4.6080,     9.92807000
             3,             96,             94,         4.6080,     9.93435100
             3,             96,             94,         4.6080,     9.91927000
             3,             96,             94,         4.6080,     9.92690300
             3,            192,            190,         9.2160,     7.93030000
             3,            192,            190,         9.2160,     7.93265600
             3,            288,            286,        13.8240,     7.27417200
             3,            384,            382,        18.4320,     6.76099200
             3,            384,            382,        18.4320,     6.76131400
             3,            480,            478,        23.0400,     7.22029000
             3,            672,            670,        32.2560,     6.40211500
             3,            768,            766,        36.8640,     6.49713400
             3,            960,            958,        46.0800,     6.57226300
             3,           1152,           1150,        55.2960,     6.26407400
             3,           1344,           1342,        64.5120,     6.37737200
             3,           1632,           1630,        78.3360,     6.66441200
             3,           2016,           2014,        96.7680,     6.91779300
             3,           2400,           2398,       115.2000,     9.72196500
             3,           2880,           2878,       138.2400,    10.19478400
             3,           3456,           3454,       165.8880,    10.15347900
             3,           4224,           4222,       202.7520,    10.17804400
             3,           4992,           4990,       239.6160,    10.13374600
             3,           6048,           6046,       290.3040,    10.50324800
             3,           7296,           7294,       350.2080,    10.07277100
             3,           8736,           8734,       419.3280,     9.84945000
             3,          10464,          10462,       502.2720,     9.84483200
             3,          12576,          12574,       603.6480,     9.67630900
             3,          15072,          15070,       723.4560,     9.58356700
             3,          18144,          18142,       870.9120,     9.53380400
             3,          21792,          21790,      1046.0160,     9.50484700
             3,          26112,          26110,      1253.3760,     9.48277500
             3,          31392,          31390,      1506.8160,     9.56835400
             3,          37632,          37630,      1806.3360,     9.49145000
             3,          45216,          45214,      2170.3680,     9.80576900
             3,          54240,          54238,      2603.5200,     9.54955700
             3,          65088,          65086,      3124.2240,     9.55189200
             3,          78144,          78142,      3750.9120,     9.50398700
             3,          93792,          93790,      4502.0160,     9.63558800
             3,         112608,         112606,      5405.1840,    10.17665200
             3,         135072,         135070,      6483.4560,     9.93518600
             3,         162144,         162142,      7782.9120,    10.47218500
             3,         194592,         194590,      9340.4160,    12.12133900
             3,         233472,         233470,     11206.6560,    12.84296000
             3,         280224,         280222,     13450.7520,    11.91424900
             3,         336192,         336190,     16137.2160,    12.01495900
             3,         403488,         403486,     19367.4240,    13.20762200
             3,         484224,         484222,     23242.7520,    12.24914400
             3,         580992,         580990,     27887.6160,    12.19919300
             3,         697248,         697246,     33467.9040,    12.26104000
             3,         836736,         836734,     40163.3280,    12.26799300
             3,        1004064,        1004062,     48195.0720,    12.31037700
             3,        1204896,        1204894,     57835.0080,    12.25751200
             3,        1445856,        1445854,     69401.0880,    12.97414900
             3,        1735008,        1735006,     83280.3840,    12.30072500
             3,        2082048,        2082046,     99938.3040,    12.26073500
             3,        2498496,        2498494,    119927.8080,    13.18375600
             3,        2998176,        2998174,    143912.4480,    13.15019200
             3,        3597792,        3597790,    172694.0160,    13.31953100
