          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,             64,             62,         3.0720,    10.46194300
             3,             72,             70,         3.4560,    10.22618500
             3,             88,             86,         4.2240,    11.26733700
             3,            104,            102,         4.9920,    10.95885700
             3,            128,            126,         6.1440,     9.25109000
             3,            152,            150,         7.2960,     8.95981200
             3,            184,            182,         8.8320,     8.87472600
             3,            224,            222,        10.7520,    10.08045400
             3,            272,            270,        13.0560,     8.60453700
             3,            328,            326,        15.7440,     8.47864800
             3,            392,            390,        18.8160,    10.82325200
             3,            472,            470,        22.6560,     8.35348800
             3,            568,            566,        27.2640,     8.33540800
             3,            680,            678,        32.6400,    10.17368500
             3,            816,            814,        39.1680,    10.41944200
             3,            984,            982,        47.2320,     8.20951300
             3,           1176,           1174,        56.4480,     8.23403600
             3,           1416,           1414,        67.9680,     8.13394900
             3,           1696,           1694,        81.4080,     8.11638000
             3,           2040,           2038,        97.9200,     8.63418800
             3,           2448,           2446,       117.5040,    10.29735600
             3,           2936,           2934,       140.9280,    14.69315800
             3,           3520,           3518,       168.9600,    15.80467800
             3,           4224,           4222,       202.7520,    14.71425200
             3,           5072,           5070,       243.4560,    14.81164400
             3,           6088,           6086,       292.2240,    14.51396500
             3,           7304,           7302,       350.5920,    15.81337900
             3,           8768,           8766,       420.8640,    14.32057100
             3,          10520,          10518,       504.9600,    14.09552200
             3,          12624,          12622,       605.9520,    14.56459300
             3,          15152,          15150,       727.2960,    14.24372300
             3,          18184,          18182,       872.8320,    13.98304800
             3,          21824,          21822,      1047.5520,    14.06150200
             3,          26184,          26182,      1256.8320,    13.71279500
             3,          31424,          31422,      1508.3520,    14.03439500
             3,          37712,          37710,      1810.1760,    13.97676300
             3,          45256,          45254,      2172.2880,    17.17003900
             3,          54304,          54302,      2606.5920,    13.65762800
             3,          65168,          65166,      3128.0640,    13.68409100
             3,          78200,          78198,      3753.6000,    13.64883900
             3,          93840,          93838,      4504.3200,    13.71363400
             3,         112616,         112614,      5405.5680,    13.71990700
             3,         135136,         135134,      6486.5280,    13.63611300
             3,         162160,         162158,      7783.6800,    13.57843200
             3,         194600,         194598,      9340.8000,    14.26718000
             3,         233520,         233518,     11208.9600,    14.70379700
             3,         280224,         280222,     13450.7520,    15.20512100
             3,         336264,         336262,     16140.6720,    15.08712800
             3,         403520,         403518,     19368.9600,    15.12995800
             3,         484224,         484222,     23242.7520,    15.11100500
             3,         581072,         581070,     27891.4560,    15.09880000
             3,         697288,         697286,     33469.8240,    15.07054900
             3,         836744,         836742,     40163.7120,    15.12062400
             3,        1004096,        1004094,     48196.6080,    15.06389600
             3,        1204912,        1204910,     57835.7760,    15.14308100
             3,        1445896,        1445894,     69403.0080,    15.12534700
             3,        1735072,        1735070,     83283.4560,    15.11383200
             3,        2082088,        2082086,     99940.2240,    15.11522900
             3,        2498512,        2498510,    119928.5760,    15.10387000
             3,        2998216,        2998214,    143914.3680,    15.35360600
             3,        3597856,        3597854,    172697.0880,    16.06450600
