          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,              0,             -2,         0.0000,  -516.00700600
             3,              0,             -2,         0.0000,  -515.64327800
             3,              0,             -2,         0.0000,  -516.07748300
             3,              0,             -2,         0.0000,  -516.99574300
             3,            120,            118,         5.7600,     8.51135400
             3,            120,            118,         5.7600,     8.51474700
             3,            120,            118,         5.7600,     8.53630500
             3,            120,            118,         5.7600,     8.49585900
             3,            240,            238,        11.5200,     7.08576400
             3,            240,            238,        11.5200,     7.08238700
             3,            360,            358,        17.2800,     6.74596800
             3,            360,            358,        17.2800,     6.74191600
             3,            480,            478,        23.0400,     7.00865000
             3,            600,            598,        28.8000,     6.22479400
             3,            720,            718,        34.5600,     6.09862100
             3,            960,            958,        46.0800,     5.97646200
             3,           1080,           1078,        51.8400,     5.98044400
             3,           1320,           1318,        63.3600,     5.88842000
             3,           1680,           1678,        80.6400,     7.08836000
             3,           2040,           2038,        97.9200,     6.90070600
             3,           2400,           2398,       115.2000,    10.53797200
             3,           2880,           2878,       138.2400,    11.14676400
             3,           3480,           3478,       167.0400,    11.30341900
             3,           4200,           4198,       201.6000,    10.89248700
             3,           5040,           5038,       241.9200,    10.48498000
             3,           6000,           5998,       288.0000,    10.51949800
             3,           7200,           7198,       345.6000,    10.22098500
             3,           8760,           8758,       420.4800,    10.16566900
             3,          10440,          10438,       501.1200,    10.30195200
             3,          12600,          12598,       604.8000,    10.19430000
             3,          15120,          15118,       725.7600,    10.10356200
             3,          18120,          18118,       869.7600,    10.17048500
             3,          21720,          21718,      1042.5600,    10.16072100
             3,          26160,          26158,      1255.6800,    10.01419100
             3,          31320,          31318,      1503.3600,    10.19111700
             3,          37680,          37678,      1808.6400,    10.07208400
             3,          45240,          45238,      2171.5200,    10.36056100
             3,          54240,          54238,      2603.5200,    10.04006200
             3,          65160,          65158,      3127.6800,    10.18649600
             3,          78120,          78118,      3749.7600,    10.08182300
             3,          93840,          93838,      4504.3200,    10.12151700
             3,         112560,         112558,      5402.8800,    10.10461800
             3,         135120,         135118,      6485.7600,    10.35698600
             3,         162120,         162118,      7781.7600,    10.88766600
             3,         194520,         194518,      9336.9600,    12.32802600
             3,         233520,         233518,     11208.9600,    14.34946100
             3,         280200,         280198,     13449.6000,    17.04748200
             3,         336240,         336238,     16139.5200,    17.04051900
             3,         403440,         403438,     19365.1200,    18.89310000
             3,         484200,         484198,     23241.6000,    18.27298900
             3,         581040,         581038,     27889.9200,    18.82468100
             3,         697200,         697198,     33465.6000,    17.90155200
             3,         836640,         836638,     40158.7200,    17.93022100
             3,        1004040,        1004038,     48193.9200,    18.19959700
             3,        1204800,        1204798,     57830.4000,    17.83753500
             3,        1445880,        1445878,     69402.2400,    19.29070600
             3,        1734960,        1734958,     83278.0800,    17.83984100
             3,        2082000,        2081998,     99936.0000,    17.91096400
             3,        2498400,        2498398,    119923.2000,    18.61100400
             3,        2998200,        2998198,    143913.6000,    19.07294600
             3,        3597840,        3597838,    172696.3200,    18.93777600
