          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,              0,             -2,         0.0000,  -429.83766800
             3,              0,             -2,         0.0000,  -429.65788300
             3,              0,             -2,         0.0000,  -429.62802300
             3,            104,            102,         4.9920,     8.86358500
             3,            104,            102,         4.9920,     8.85909200
             3,            104,            102,         4.9920,     8.85635000
             3,            104,            102,         4.9920,     8.85948200
             3,            208,            206,         9.9840,     7.25361100
             3,            208,            206,         9.9840,     7.25453100
             3,            312,            310,        14.9760,     6.65402200
             3,            312,            310,        14.9760,     6.63928700
             3,            416,            414,        19.9680,     6.50645500
             3,            520,            518,        24.9600,     6.38741900
             3,            624,            622,        29.9520,     6.20327400
             3,            728,            726,        34.9440,     6.13516300
             3,            936,            934,        44.9280,     6.03260900
             3,           1144,           1142,        54.9120,     6.03879800
             3,           1352,           1350,        64.8960,     6.19377300
             3,           1664,           1662,        79.8720,     7.20269100
             3,           1976,           1974,        94.8480,     6.66969800
             3,           2392,           2390,       114.8160,    10.54899000
             3,           2912,           2910,       139.7760,    11.27403000
             3,           3432,           3430,       164.7360,    11.34720000
             3,           4160,           4158,       199.6800,    10.79638800
             3,           4992,           4990,       239.6160,    10.50619800
             3,           6032,           6030,       289.5360,    10.57982000
             3,           7280,           7278,       349.4400,    10.47812600
             3,           8736,           8734,       419.3280,    10.20816700
             3,          10504,          10502,       504.1920,    10.37689700
             3,          12584,          12582,       604.0320,    10.42318800
             3,          15080,          15078,       723.8400,    10.38483000
             3,          18096,          18094,       868.6080,    10.20211700
             3,          21736,          21734,      1043.3280,    10.30590700
             3,          26104,          26102,      1252.9920,    10.15649700
             3,          31408,          31406,      1507.5840,    10.21606700
             3,          37648,          37646,      1807.1040,    10.11396700
             3,          45240,          45238,      2171.5200,    10.41930100
             3,          54288,          54286,      2605.8240,    10.08891200
             3,          65104,          65102,      3124.9920,    10.18435400
             3,          78104,          78102,      3748.9920,    10.26285300
             3,          93808,          93806,      4502.7840,    10.23527300
             3,         112528,         112526,      5401.3440,    10.25177800
             3,         135096,         135094,      6484.6080,    10.41923900
             3,         162136,         162134,      7782.5280,    10.75244800
             3,         194584,         194582,      9340.0320,    12.09980500
             3,         233480,         233478,     11207.0400,    15.00559200
             3,         280176,         280174,     13448.4480,    15.21397700
             3,         336232,         336230,     16139.1360,    16.80473800
             3,         403520,         403518,     19368.9600,    15.81171300
             3,         484224,         484222,     23242.7520,    15.80570900
             3,         581048,         581046,     27890.3040,    17.11338000
             3,         697216,         697214,     33466.3680,    15.77829900
             3,         836680,         836678,     40160.6400,    16.95248200
             3,        1004016,        1004014,     48192.7680,    15.79094900
             3,        1204840,        1204838,     57832.3200,    16.92003400
             3,        1445808,        1445806,     69398.7840,    15.86049300
             3,        1735032,        1735030,     83281.5360,    17.32262700
             3,        2082080,        2082078,     99939.8400,    15.66867400
             3,        2498496,        2498494,    119927.8080,    16.19313600
             3,        2998216,        2998214,    143914.3680,    17.83939700
             3,        3597776,        3597774,    172693.2480,    16.83665200
