          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,              0,             -2,         0.0000,  -320.21492500
             3,             72,             70,         3.4560,    10.27527400
             3,             72,             70,         3.4560,    10.26268600
             3,             72,             70,         3.4560,    10.27455200
             3,             72,             70,         3.4560,    10.27059300
             3,            144,            142,         6.9120,     8.03649000
             3,            144,            142,         6.9120,     8.03031500
             3,            216,            214,        10.3680,     7.23700400
             3,            216,            214,        10.3680,     7.22824100
             3,            288,            286,        13.8240,     6.85456200
             3,            360,            358,        17.2800,     6.73386700
             3,            432,            430,        20.7360,     6.49412400
             3,            504,            502,        24.1920,     6.64371800
             3,            648,            646,        31.1040,     6.23190100
             3,            792,            790,        38.0160,     6.11168200
             3,            936,            934,        44.9280,     6.05387000
             3,           1152,           1150,        55.2960,     6.04507900
             3,           1368,           1366,        65.6640,     5.93758700
             3,           1656,           1654,        79.4880,     7.09591400
             3,           2016,           2014,        96.7680,     6.61354900
             3,           2448,           2446,       117.5040,     9.85490400
             3,           2880,           2878,       138.2400,     9.92518300
             3,           3456,           3454,       165.8880,     9.39063300
             3,           4176,           4174,       200.4480,     9.34087600
             3,           5040,           5038,       241.9200,     9.19474900
             3,           6048,           6046,       290.3040,     9.38937800
             3,           7272,           7270,       349.0560,     9.27353900
             3,           8712,           8710,       418.1760,     8.92428200
             3,          10512,          10510,       504.5760,     8.92938200
             3,          12600,          12598,       604.8000,     8.85438600
             3,          15120,          15118,       725.7600,     8.90046500
             3,          18144,          18142,       870.9120,     8.82145700
             3,          21816,          21814,      1047.1680,     8.77099000
             3,          26136,          26134,      1254.5280,     8.73971100
             3,          31392,          31390,      1506.8160,     8.75710200
             3,          37656,          37654,      1807.4880,     8.70245900
             3,          45216,          45214,      2170.3680,     8.89250000
             3,          54288,          54286,      2605.8240,     8.63962700
             3,          65160,          65158,      3127.6800,     8.63352600
             3,          78192,          78190,      3753.2160,     8.60882700
             3,          93816,          93814,      4503.1680,     8.59566300
             3,         112608,         112606,      5405.1840,     8.62757500
             3,         135072,         135070,      6483.4560,     8.68786900
             3,         162144,         162142,      7782.9120,     9.19425100
             3,         194544,         194542,      9338.1120,    10.07359800
             3,         233496,         233494,     11207.8080,    10.95469300
             3,         280224,         280222,     13450.7520,    10.91341900
             3,         336240,         336238,     16139.5200,    11.08646200
             3,         403488,         403486,     19367.4240,    11.04527100
             3,         484200,         484198,     23241.6000,    11.04127200
             3,         581040,         581038,     27889.9200,    11.00163900
             3,         697248,         697246,     33467.9040,    10.91394900
             3,         836712,         836710,     40162.1760,    11.17821500
             3,        1004040,        1004038,     48193.9200,    11.05214100
             3,        1204848,        1204846,     57832.7040,    11.08728000
             3,        1445832,        1445830,     69399.9360,    11.01191200
             3,        1735056,        1735054,     83282.6880,    11.11405700
             3,        2082024,        2082022,     99937.1520,    11.08673500
             3,        2498472,        2498470,    119926.6560,    11.06891900
             3,        2998152,        2998150,    143911.2960,    11.48006600
             3,        3597840,        3597838,    172696.3200,    11.79664900
