          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,             48,             46,         2.3040,    10.54167200
             3,             48,             46,         2.3040,    10.53711400
             3,             48,             46,         2.3040,    10.54047700
             3,             96,             94,         4.6080,     8.51688900
             3,             96,             94,         4.6080,     8.54100000
             3,            144,            142,         6.9120,     7.58497900
             3,            144,            142,         6.9120,     7.58319100
             3,            192,            190,         9.2160,     7.10938600
             3,            240,            238,        11.5200,     7.02295700
             3,            288,            286,        13.8240,     6.64701500
             3,            384,            382,        18.4320,     6.55975800
             3,            432,            430,        20.7360,     6.55656900
             3,            528,            526,        25.3440,     6.66140300
             3,            672,            670,        32.2560,     6.29149100
             3,            816,            814,        39.1680,     6.56232800
             3,            960,            958,        46.0800,     6.64620600
             3,           1152,           1150,        55.2960,     6.07916500
             3,           1392,           1390,        66.8160,     6.40748900
             3,           1680,           1678,        80.6400,     8.07510700
             3,           2016,           2014,        96.7680,     6.54099500
             3,           2448,           2446,       117.5040,     9.00086700
             3,           2928,           2926,       140.5440,     9.47815200
             3,           3504,           3502,       168.1920,     9.59732300
             3,           4224,           4222,       202.7520,     9.15919900
             3,           5040,           5038,       241.9200,     9.26445400
             3,           6048,           6046,       290.3040,     9.34551500
             3,           7296,           7294,       350.2080,     9.29816100
             3,           8736,           8734,       419.3280,     8.93742500
             3,          10512,          10510,       504.5760,     8.89528100
             3,          12624,          12622,       605.9520,     8.90071600
             3,          15120,          15118,       725.7600,     8.87004300
             3,          18144,          18142,       870.9120,     8.85548400
             3,          21792,          21790,      1046.0160,     8.81394200
             3,          26160,          26158,      1255.6800,     8.78044400
             3,          31392,          31390,      1506.8160,     8.88996200
             3,          37680,          37678,      1808.6400,     8.78625000
             3,          45216,          45214,      2170.3680,     9.43786100
             3,          54288,          54286,      2605.8240,     8.82205200
             3,          65136,          65134,      3126.5280,     8.77714800
             3,          78192,          78190,      3753.2160,     8.76669300
             3,          93840,          93838,      4504.3200,     8.75163400
             3,         112608,         112606,      5405.1840,     8.79201200
             3,         135120,         135118,      6485.7600,     8.79484400
             3,         162144,         162142,      7782.9120,     9.21286600
             3,         194592,         194590,      9340.4160,     9.90489600
             3,         233520,         233518,     11208.9600,    10.78664900
             3,         280224,         280222,     13450.7520,    10.82776700
             3,         336240,         336238,     16139.5200,    10.22488900
             3,         403488,         403486,     19367.4240,    10.45542300
             3,         484224,         484222,     23242.7520,    10.32166700
             3,         581040,         581038,     27889.9200,    10.35267300
             3,         697248,         697246,     33467.9040,    10.29350800
             3,         836736,         836734,     40163.3280,    10.38925600
             3,        1004064,        1004062,     48195.0720,    10.42603100
             3,        1204896,        1204894,     57835.0080,    10.31968200
             3,        1445856,        1445854,     69401.0880,    10.16393700
             3,        1735056,        1735054,     83282.6880,    10.36223900
             3,        2082048,        2082046,     99938.3040,    10.42554400
             3,        2498496,        2498494,    119927.8080,    10.45185700
             3,        2998176,        2998174,    143912.4480,    10.80892700
             3,        3597840,        3597838,    172696.3200,    11.42597300
