          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,             64,             62,         3.0720,    10.70140300
             3,             64,             62,         3.0720,    10.70377600
             3,             80,             78,         3.8400,    10.14065300
             3,             96,             94,         4.6080,    10.79202900
             3,            128,            126,         6.1440,     9.53534900
             3,            144,            142,         6.9120,     9.80651200
             3,            176,            174,         8.4480,     9.15723000
             3,            224,            222,        10.7520,     9.95449900
             3,            272,            270,        13.0560,     8.85497700
             3,            320,            318,        15.3600,     8.77641200
             3,            384,            382,        18.4320,    10.69818300
             3,            464,            462,        22.2720,     8.64624800
             3,            560,            558,        26.8800,     8.58960800
             3,            672,            670,        32.2560,    10.19700500
             3,            816,            814,        39.1680,    10.21706000
             3,            976,            974,        46.8480,     8.48615400
             3,           1168,           1166,        56.0640,     8.56719100
             3,           1408,           1406,        67.5840,     8.43156900
             3,           1696,           1694,        81.4080,     8.41531600
             3,           2032,           2030,        97.5360,     8.41699900
             3,           2448,           2446,       117.5040,    10.43590100
             3,           2928,           2926,       140.5440,    12.98019700
             3,           3520,           3518,       168.9600,    13.63047200
             3,           4224,           4222,       202.7520,    12.62238300
             3,           5072,           5070,       243.4560,    13.53631500
             3,           6080,           6078,       291.8400,    13.54488000
             3,           7296,           7294,       350.2080,    14.33006800
             3,           8768,           8766,       420.8640,    13.40214100
             3,          10512,          10510,       504.5760,    13.33702300
             3,          12624,          12622,       605.9520,    13.44561700
             3,          15152,          15150,       727.2960,    13.26532700
             3,          18176,          18174,       872.4480,    13.11178100
             3,          21824,          21822,      1047.5520,    13.24826300
             3,          26176,          26174,      1256.4480,    13.01353500
             3,          31424,          31422,      1508.3520,    13.18886500
             3,          37712,          37710,      1810.1760,    13.11569300
             3,          45248,          45246,      2171.9040,    14.50124900
             3,          54304,          54302,      2606.5920,    13.02122300
             3,          65168,          65166,      3128.0640,    12.94857500
             3,          78192,          78190,      3753.2160,    12.98982700
             3,          93840,          93838,      4504.3200,    13.01585800
             3,         112608,         112606,      5405.1840,    13.22309800
             3,         135136,         135134,      6486.5280,    13.03654900
             3,         162160,         162158,      7783.6800,    13.62813100
             3,         194592,         194590,      9340.4160,    14.70884700
             3,         233520,         233518,     11208.9600,    14.29558900
             3,         280224,         280222,     13450.7520,    14.41158900
             3,         336256,         336254,     16140.2880,    14.47612900
             3,         403520,         403518,     19368.9600,    14.44649300
             3,         484224,         484222,     23242.7520,    14.42398100
             3,         581072,         581070,     27891.4560,    14.34108400
             3,         697280,         697278,     33469.4400,    14.52507700
             3,         836736,         836734,     40163.3280,    14.52148800
             3,        1004096,        1004094,     48196.6080,    14.45903400
             3,        1204912,        1204910,     57835.7760,    14.37148800
             3,        1445888,        1445886,     69402.6240,    14.23088500
             3,        1735072,        1735070,     83283.4560,    14.53342200
             3,        2082080,        2082078,     99939.8400,    14.50550600
             3,        2498512,        2498510,    119928.5760,    14.40786100
             3,        2998208,        2998206,    143913.9840,    14.68618100
             3,        3597856,        3597854,    172697.0880,    15.38024200
