          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,              0,             -2,         0.0000,  -493.97803800
             3,              0,             -2,         0.0000,  -494.21869100
             3,              0,             -2,         0.0000,  -494.81138300
             3,              0,             -2,         0.0000,  -493.95458400
             3,            112,            110,         5.3760,     8.78089400
             3,            112,            110,         5.3760,     8.78637900
             3,            112,            110,         5.3760,     8.79094400
             3,            224,            222,        10.7520,     7.30919900
             3,            224,            222,        10.7520,     7.30510100
             3,            224,            222,        10.7520,     7.31148900
             3,            336,            334,        16.1280,     7.27586100
             3,            448,            446,        21.5040,     6.56249900
             3,            560,            558,        26.8800,     6.30415300
             3,            672,            670,        32.2560,     6.22263800
             3,            784,            782,        37.6320,     6.31653800
             3,            896,            894,        43.0080,     6.08608700
             3,           1120,           1118,        53.7600,     6.07284100
             3,           1344,           1342,        64.5120,     6.09123800
             3,           1680,           1678,        80.6400,     6.91138000
             3,           2016,           2014,        96.7680,     6.35469000
             3,           2352,           2350,       112.8960,    10.14222100
             3,           2912,           2910,       139.7760,    10.83464300
             3,           3472,           3470,       166.6560,    10.80234400
             3,           4144,           4142,       198.9120,    10.57431500
             3,           5040,           5038,       241.9200,    10.25655000
             3,           6048,           6046,       290.3040,    10.16184700
             3,           7280,           7278,       349.4400,    10.19620800
             3,           8736,           8734,       419.3280,     9.84778600
             3,          10416,          10414,       499.9680,     9.97784100
             3,          12544,          12542,       602.1120,     9.80173900
             3,          15120,          15118,       725.7600,     9.71092200
             3,          18144,          18142,       870.9120,     9.80049600
             3,          21728,          21726,      1042.9440,     9.71597700
             3,          26096,          26094,      1252.6080,     9.63968200
             3,          31360,          31358,      1505.2800,     9.82135300
             3,          37632,          37630,      1806.3360,     9.70790400
             3,          45248,          45246,      2171.9040,     9.79072100
             3,          54208,          54206,      2601.9840,     9.73693900
             3,          65072,          65070,      3123.4560,     9.69001600
             3,          78176,          78174,      3752.4480,     9.70571600
             3,          93744,          93742,      4499.7120,     9.74476700
             3,         112560,         112558,      5402.8800,     9.72991400
             3,         135072,         135070,      6483.4560,     9.74700900
             3,         162064,         162062,      7779.0720,    10.00065600
             3,         194544,         194542,      9338.1120,    13.39612700
             3,         233520,         233518,     11208.9600,    14.67161000
             3,         280224,         280222,     13450.7520,    17.02250400
             3,         336224,         336222,     16138.7520,    17.25564900
             3,         403424,         403422,     19364.3520,    18.22054400
             3,         484176,         484174,     23240.4480,    17.25938900
             3,         581056,         581054,     27890.6880,    19.42041100
             3,         697200,         697198,     33465.6000,    17.37198700
             3,         836640,         836638,     40158.7200,    17.85712600
             3,        1004080,        1004078,     48195.8400,    17.43265600
             3,        1204896,        1204894,     57835.0080,    17.58177800
             3,        1445808,        1445806,     69398.7840,    17.91851000
             3,        1734992,        1734990,     83279.6160,    17.31367900
             3,        2082080,        2082078,     99939.8400,    17.79373300
             3,        2498496,        2498494,    119927.8080,    18.53071000
             3,        2998128,        2998126,    143910.1440,    18.33117900
             3,        3597776,        3597774,    172693.2480,    19.00371100
