          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,             64,             62,         3.0720,     9.77057200
             3,             64,             62,         3.0720,     9.79252200
             3,             64,             62,         3.0720,     9.78664100
             3,             64,             62,         3.0720,     9.78839400
             3,            128,            126,         6.1440,     7.93694100
             3,            128,            126,         6.1440,     7.94785700
             3,            128,            126,         6.1440,     7.94508900
             3,            192,            190,         9.2160,     7.10612600
             3,            256,            254,        12.2880,     6.85567100
             3,            320,            318,        15.3600,     6.55262600
             3,            384,            382,        18.4320,     6.91228300
             3,            448,            446,        21.5040,     6.40381100
             3,            512,            510,        24.5760,     6.89426800
             3,            640,            638,        30.7200,     6.24650700
             3,            768,            766,        36.8640,     6.14839900
             3,            960,            958,        46.0800,     6.37811100
             3,           1152,           1150,        55.2960,     6.08764400
             3,           1408,           1406,        67.5840,     5.87843000
             3,           1664,           1662,        79.8720,     7.45568900
             3,           1984,           1982,        95.2320,     6.34557200
             3,           2432,           2430,       116.7360,     9.83604400
             3,           2880,           2878,       138.2400,     9.43241300
             3,           3520,           3518,       168.9600,     9.41633600
             3,           4224,           4222,       202.7520,     9.21356600
             3,           5056,           5054,       242.6880,     8.96900200
             3,           6080,           6078,       291.8400,     9.06307300
             3,           7296,           7294,       350.2080,     9.01410200
             3,           8768,           8766,       420.8640,     8.76371300
             3,          10496,          10494,       503.8080,     8.85601600
             3,          12608,          12606,       605.1840,     8.74857700
             3,          15104,          15102,       724.9920,     8.75997300
             3,          18176,          18174,       872.4480,     8.69853900
             3,          21824,          21822,      1047.5520,     8.66390400
             3,          26176,          26174,      1256.4480,     8.63303600
             3,          31424,          31422,      1508.3520,     8.72958500
             3,          37696,          37694,      1809.4080,     8.70846900
             3,          45248,          45246,      2171.9040,     8.96950700
             3,          54272,          54270,      2605.0560,     8.67277600
             3,          65152,          65150,      3127.2960,     8.69508400
             3,          78144,          78142,      3750.9120,     8.68410600
             3,          93824,          93822,      4503.5520,     8.66889100
             3,         112576,         112574,      5403.6480,     8.70423600
             3,         135104,         135102,      6484.9920,     8.73803000
             3,         162112,         162110,      7781.3760,     9.49736100
             3,         194560,         194558,      9338.8800,    10.24596700
             3,         233472,         233470,     11206.6560,    10.76456000
             3,         280192,         280190,     13449.2160,    10.54662000
             3,         336256,         336254,     16140.2880,    10.61696700
             3,         403520,         403518,     19368.9600,    10.87685200
             3,         484224,         484222,     23242.7520,    10.81371700
             3,         581056,         581054,     27890.6880,    10.74021700
             3,         697280,         697278,     33469.4400,    10.80886200
             3,         836736,         836734,     40163.3280,    10.82592300
             3,        1004096,        1004094,     48196.6080,    10.80736600
             3,        1204864,        1204862,     57833.4720,    10.74421000
             3,        1445888,        1445886,     69402.6240,    10.46287400
             3,        1735040,        1735038,     83281.9200,    10.78852600
             3,        2082048,        2082046,     99938.3040,    10.81137400
             3,        2498496,        2498494,    119927.8080,    10.82708100
             3,        2998208,        2998206,    143913.9840,    11.14462900
             3,        3597824,        3597822,    172695.5520,    11.53840300
