          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,              0,             -2,         0.0000,  -557.12417100
             3,              0,             -2,         0.0000,  -557.21891400
             3,              0,             -2,         0.0000,  -557.30589300
             3,              0,             -2,         0.0000,  -557.68957800
             3,            128,            126,         6.1440,     9.07274300
             3,            128,            126,         6.1440,     9.04132900
             3,            128,            126,         6.1440,     8.98220400
             3,            128,            126,         6.1440,     8.91169000
             3,            256,            254,        12.2880,     7.40934300
             3,            256,            254,        12.2880,     7.41222300
             3,            384,            382,        18.4320,     7.46462200
             3,            384,            382,        18.4320,     7.46318900
             3,            512,            510,        24.5760,     7.19872500
             3,            640,            638,        30.7200,     6.62355300
             3,            768,            766,        36.8640,     6.50856000
             3,            896,            894,        43.0080,     6.54436500
             3,           1152,           1150,        55.2960,     6.57898800
             3,           1408,           1406,        67.5840,     6.34819200
             3,           1664,           1662,        79.8720,     7.86196400
             3,           1920,           1918,        92.1600,     6.29208900
             3,           2432,           2430,       116.7360,    11.40643300
             3,           2816,           2814,       135.1680,    11.48841600
             3,           3456,           3454,       165.8880,    11.44604700
             3,           4224,           4222,       202.7520,    11.32845900
             3,           4992,           4990,       239.6160,    10.89615200
             3,           6016,           6014,       288.7680,    11.02172500
             3,           7296,           7294,       350.2080,    10.93371800
             3,           8704,           8702,       417.7920,    10.60370600
             3,          10496,          10494,       503.8080,    10.63815500
             3,          12544,          12542,       602.1120,    10.66903400
             3,          15104,          15102,       724.9920,    10.60970400
             3,          18176,          18174,       872.4480,    10.67615500
             3,          21760,          21758,      1044.4800,    10.53908900
             3,          26112,          26110,      1253.3760,    10.47636400
             3,          31360,          31358,      1505.2800,    10.65436700
             3,          37632,          37630,      1806.3360,    10.55259700
             3,          45184,          45182,      2168.8320,    11.10587600
             3,          54272,          54270,      2605.0560,    10.52047900
             3,          65152,          65150,      3127.2960,    10.65424100
             3,          78080,          78078,      3747.8400,    10.55922400
             3,          93824,          93822,      4503.5520,    10.64269600
             3,         112512,         112510,      5400.5760,    10.74162200
             3,         135040,         135038,      6481.9200,    10.76145000
             3,         162048,         162046,      7778.3040,    11.40404400
             3,         194560,         194558,      9338.8800,    13.00603700
             3,         233472,         233470,     11206.6560,    16.33330900
             3,         280192,         280190,     13449.2160,    17.50017900
             3,         336256,         336254,     16140.2880,    17.76416400
             3,         403456,         403454,     19365.8880,    19.37758200
             3,         484224,         484222,     23242.7520,    17.95600000
             3,         580992,         580990,     27887.6160,    17.99793700
             3,         697216,         697214,     33466.3680,    17.94531100
             3,         836736,         836734,     40163.3280,    18.51779300
             3,        1004032,        1004030,     48193.5360,    17.89655700
             3,        1204864,        1204862,     57833.4720,    18.40753000
             3,        1445888,        1445886,     69402.6240,    19.52970600
             3,        1735040,        1735038,     83281.9200,    18.10938900
             3,        2082048,        2082046,     99938.3040,    18.21153600
             3,        2498432,        2498430,    119924.7360,    18.83061100
             3,        2998144,        2998142,    143910.9120,    19.01314600
             3,        3597824,        3597822,    172695.5520,    19.07011300
