          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,             48,             46,         2.3040,    12.18523800
             3,             72,             70,         3.4560,    10.53150500
             3,             72,             70,         3.4560,    10.56661800
             3,             96,             94,         4.6080,     9.77378600
             3,            120,            118,         5.7600,     9.29405800
             3,            144,            142,         6.9120,     9.46154300
             3,            168,            166,         8.0640,     8.87153700
             3,            216,            214,        10.3680,     8.54268900
             3,            264,            262,        12.6720,     8.43616600
             3,            312,            310,        14.9760,     8.22947600
             3,            384,            382,        18.4320,     8.64560300
             3,            456,            454,        21.8880,     8.07153900
             3,            552,            550,        26.4960,     7.97060600
             3,            672,            670,        32.2560,     8.48595300
             3,            816,            814,        39.1680,     8.77620600
             3,            984,            982,        47.2320,     7.86285700
             3,           1176,           1174,        56.4480,     7.82513400
             3,           1416,           1414,        67.9680,     7.78047100
             3,           1680,           1678,        80.6400,    10.19290200
             3,           2040,           2038,        97.9200,     8.35444400
             3,           2448,           2446,       117.5040,    10.11718300
             3,           2928,           2926,       140.5440,    11.26465900
             3,           3504,           3502,       168.1920,    11.59825800
             3,           4224,           4222,       202.7520,    10.66707500
             3,           5064,           5062,       243.0720,    10.68492500
             3,           6072,           6070,       291.4560,    10.73969600
             3,           7296,           7294,       350.2080,    11.12102700
             3,           8760,           8758,       420.4800,    10.38287800
             3,          10512,          10510,       504.5760,    10.43183400
             3,          12624,          12622,       605.9520,    10.53301900
             3,          15144,          15142,       726.9120,    10.36655000
             3,          18168,          18166,       872.0640,    10.33646700
             3,          21816,          21814,      1047.1680,    10.30016200
             3,          26184,          26182,      1256.8320,    10.20068400
             3,          31416,          31414,      1507.9680,    10.32164800
             3,          37704,          37702,      1809.7920,    10.25032400
             3,          45240,          45238,      2171.5200,    11.41055300
             3,          54288,          54286,      2605.8240,    10.45371400
             3,          65160,          65158,      3127.6800,    10.19946300
             3,          78192,          78190,      3753.2160,    10.19650500
             3,          93840,          93838,      4504.3200,    10.20236300
             3,         112608,         112606,      5405.1840,    10.25598600
             3,         135120,         135118,      6485.7600,    10.54180600
             3,         162144,         162142,      7782.9120,    11.68310400
             3,         194592,         194590,      9340.4160,    11.89924800
             3,         233520,         233518,     11208.9600,    11.59533300
             3,         280224,         280222,     13450.7520,    12.04200900
             3,         336264,         336262,     16140.6720,    12.54695600
             3,         403512,         403510,     19368.5760,    11.89226000
             3,         484224,         484222,     23242.7520,    11.86484700
             3,         581064,         581062,     27891.0720,    11.79893100
             3,         697272,         697270,     33469.0560,    11.84271700
             3,         836736,         836734,     40163.3280,    11.84570500
             3,        1004088,        1004086,     48196.2240,    11.83842600
             3,        1204896,        1204894,     57835.0080,    11.81218000
             3,        1445880,        1445878,     69402.2400,    11.53600100
             3,        1735056,        1735054,     83282.6880,    11.89655000
             3,        2082072,        2082070,     99939.4560,    11.89363700
             3,        2498496,        2498494,    119927.8080,    11.77517300
             3,        2998200,        2998198,    143913.6000,    11.99314500
             3,        3597840,        3597838,    172696.3200,    13.04006500
