          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,             40,             38,         1.9200,    12.68720300
             3,             40,             38,         1.9200,    12.68050100
             3,             80,             78,         3.8400,     9.75408400
             3,             80,             78,         3.8400,     9.75483400
             3,            120,            118,         5.7600,     8.42426600
             3,            120,            118,         5.7600,     8.43144300
             3,            160,            158,         7.6800,     8.61621600
             3,            200,            198,         9.6000,     7.87914700
             3,            240,            238,        11.5200,     8.02242700
             3,            320,            318,        15.3600,     7.82570400
             3,            360,            358,        17.2800,     7.49220600
             3,            440,            438,        21.1200,     7.46384200
             3,            560,            558,        26.8800,     7.51006100
             3,            680,            678,        32.6400,     7.48682000
             3,            800,            798,        38.4000,     7.40972400
             3,            960,            958,        46.0800,     7.36526900
             3,           1160,           1158,        55.6800,     7.24664300
             3,           1400,           1398,        67.2000,     7.23954000
             3,           1680,           1678,        80.6400,     8.06128000
             3,           2040,           2038,        97.9200,     7.65170900
             3,           2440,           2438,       117.1200,     9.31334200
             3,           2920,           2918,       140.1600,     9.31182900
             3,           3520,           3518,       168.9600,    10.03444000
             3,           4200,           4198,       201.6000,     9.40253800
             3,           5040,           5038,       241.9200,     9.55222700
             3,           6080,           6078,       291.8400,     9.46464400
             3,           7280,           7278,       349.4400,     9.62044900
             3,           8760,           8758,       420.4800,     9.13981700
             3,          10520,          10518,       504.9600,     9.12583100
             3,          12600,          12598,       604.8000,     9.12860400
             3,          15120,          15118,       725.7600,     9.16046200
             3,          18160,          18158,       871.6800,     9.09751500
             3,          21800,          21798,      1046.4000,     9.03137400
             3,          26160,          26158,      1255.6800,     9.07204400
             3,          31400,          31398,      1507.2000,     9.09915700
             3,          37680,          37678,      1808.6400,     9.05175600
             3,          45240,          45238,      2171.5200,     9.35186100
             3,          54280,          54278,      2605.4400,     9.02575400
             3,          65160,          65158,      3127.6800,     8.99839700
             3,          78200,          78198,      3753.6000,     8.98737700
             3,          93840,          93838,      4504.3200,     9.08622500
             3,         112600,         112598,      5404.8000,     9.04485800
             3,         135120,         135118,      6485.7600,     9.11014100
             3,         162160,         162158,      7783.6800,     9.59256500
             3,         194600,         194598,      9340.8000,    10.85782000
             3,         233520,         233518,     11208.9600,    10.86885500
             3,         280200,         280198,     13449.6000,    10.79700100
             3,         336240,         336238,     16139.5200,    10.57473200
             3,         403520,         403518,     19368.9600,    10.71948100
             3,         484200,         484198,     23241.6000,    10.65381800
             3,         581040,         581038,     27889.9200,    10.72229100
             3,         697280,         697278,     33469.4400,    10.66974100
             3,         836720,         836718,     40162.5600,    10.74533000
             3,        1004080,        1004078,     48195.8400,    10.79764300
             3,        1204880,        1204878,     57834.2400,    10.71137300
             3,        1445880,        1445878,     69402.2400,    10.39903900
             3,        1735040,        1735038,     83281.9200,    10.70530300
             3,        2082080,        2082078,     99939.8400,    10.72731800
             3,        2498480,        2498478,    119927.0400,    10.77042200
             3,        2998200,        2998198,    143913.6000,    10.88012900
             3,        3597840,        3597838,    172696.3200,    11.84673100
