          #n_i,            n_j,            lup,      Size (kB),          cy/VL
             3,              0,             -2,         0.0000,  -376.44912700
             3,              0,             -2,         0.0000,  -376.59418200
             3,             88,             86,         4.2240,     9.20813000
             3,             88,             86,         4.2240,     9.20745400
             3,             88,             86,         4.2240,     9.20672100
             3,             88,             86,         4.2240,     9.20827700
             3,            176,            174,         8.4480,     7.54635000
             3,            176,            174,         8.4480,     7.55017600
             3,            264,            262,        12.6720,     7.01710500
             3,            264,            262,        12.6720,     7.01658200
             3,            352,            350,        16.8960,     6.73866000
             3,            440,            438,        21.1200,     6.64250700
             3,            528,            526,        25.3440,     6.53191900
             3,            616,            614,        29.5680,     6.41214300
             3,            792,            790,        38.0160,     6.30415800
             3,            968,            966,        46.4640,     6.27108700
             3,           1144,           1142,        54.9120,     6.34991100
             3,           1408,           1406,        67.5840,     6.09587000
             3,           1672,           1670,        80.2560,     7.29798000
             3,           2024,           2022,        97.1520,     6.75907700
             3,           2376,           2374,       114.0480,     9.78525800
             3,           2904,           2902,       139.3920,    10.37222300
             3,           3520,           3518,       168.9600,    10.02926300
             3,           4224,           4222,       202.7520,     9.97943800
             3,           5016,           5014,       240.7680,     9.80486700
             3,           6072,           6070,       291.4560,     9.95000800
             3,           7304,           7302,       350.5920,     9.82963200
             3,           8712,           8710,       418.1760,     9.61486700
             3,          10472,          10470,       502.6560,     9.52504600
             3,          12584,          12582,       604.0320,     9.42375000
             3,          15136,          15134,       726.5280,     9.37254800
             3,          18128,          18126,       870.1440,     9.37278200
             3,          21824,          21822,      1047.5520,     9.30893200
             3,          26136,          26134,      1254.5280,     9.31115600
             3,          31416,          31414,      1507.9680,     9.34382600
             3,          37664,          37662,      1807.8720,     9.33839200
             3,          45232,          45230,      2171.1360,     9.46090300
             3,          54296,          54294,      2606.2080,     9.32730600
             3,          65120,          65118,      3125.7600,     9.39433800
             3,          78144,          78142,      3750.9120,     9.31054100
             3,          93808,          93806,      4502.7840,     9.36389500
             3,         112552,         112550,      5402.4960,     9.41798400
             3,         135080,         135078,      6483.8400,     9.54843500
             3,         162096,         162094,      7780.6080,     9.96137700
             3,         194568,         194566,      9339.2640,    11.39546700
             3,         233464,         233462,     11206.2720,    12.42591400
             3,         280192,         280190,     13449.2160,    12.72664600
             3,         336248,         336246,     16139.9040,    12.59327600
             3,         403480,         403478,     19367.0400,    12.85540900
             3,         484176,         484174,     23240.4480,    12.75319500
             3,         581064,         581062,     27891.0720,    12.96996200
             3,         697224,         697222,     33466.7520,    12.81705500
             3,         836704,         836702,     40161.7920,    12.88666800
             3,        1004080,        1004078,     48195.8400,    12.67950000
             3,        1204896,        1204894,     57835.0080,    12.72717400
             3,        1445840,        1445838,     69400.3200,    12.68700700
             3,        1735008,        1735006,     83280.3840,    12.90623800
             3,        2082080,        2082078,     99939.8400,    12.84474100
             3,        2498496,        2498494,    119927.8080,    13.01845700
             3,        2998160,        2998158,    143911.6800,    13.28962600
             3,        3597792,        3597790,    172694.0160,    13.72691300
