                   Matrix,  ACLE-SpMV,    n,    C,    Z,    R,   LB,    u
               af_shell10,   125.7627,    1,   32,  128,   on,  row,    1
               BenElechi1,   118.0788,    1,   32, 2048,  off,  row,    1
                  bone010,   122.4113,    1,   32,  256,  off,  row,    1
         HPCG-128-128-128,   118.9707,    1,   32,    1,   on,  row,    1
                  ML_Geer,   130.8895,    1,   32,  512,  off,  row,    1
                nlpkkt120,   117.8670,    1,   32,   64,  off,  row,    1
                pwtk_symm,   111.9028,    1,   32, 2048,   on,  row,    1
